submission_date,state,Latitude,Longitude,tot_cases,,,,,,,,,,
6/5/2020,HI,21.307442,-157.857376,661,,,,,,,,,,
6/17/2021,HI,21.307442,-157.857376,35862,,,,,,,,,,
11/12/2020,HI,21.307442,-157.857376,16171,,,,,,,,,,
11/10/2020,HI,21.307442,-157.857376,15961,,,,,,,,,,
10/10/2020,HI,21.307442,-157.857376,13371,,,,,,,,,,
7/23/2021,HI,21.307442,-157.857376,38499,,,,,,,,,,
8/8/2020,HI,21.307442,-157.857376,3468,,,,,,,,,,
10/6/2020,HI,21.307442,-157.857376,13009,,,,,,,,,,
7/14/2021,HI,21.307442,-157.857376,37174,,,,,,,,,,
12/18/2021,HI,21.307442,-157.857376,88717,,,,,,,,,,
11/22/2020,HI,21.307442,-157.857376,17039,,,,,,,,,,
1/7/2022,HI,21.307442,-157.857376,130605,,,,,,,,,,
6/6/2020,HI,21.307442,-157.857376,662,,,,,,,,,,
8/13/2020,HI,21.307442,-157.857376,4512,,,,,,,,,,
8/29/2021,HI,21.307442,-157.857376,60094,,,,,,,,,,
1/1/2021,HI,21.307442,-157.857376,21258,,,,,,,,,,
9/25/2021,HI,21.307442,-157.857376,75391,,,,,,,,,,
10/20/2021,HI,21.307442,-157.857376,80139,,,,,,,,,,
6/12/2020,HI,21.307442,-157.857376,711,,,,,,,,,,
9/4/2020,HI,21.307442,-157.857376,9655,,,,,,,,,,
12/8/2021,HI,21.307442,-157.857376,85536,,,,,,,,,,
11/19/2021,HI,21.307442,-157.857376,83684,,,,,,,,,,
9/9/2020,HI,21.307442,-157.857376,10253,,,,,,,,,,
9/4/2021,HI,21.307442,-157.857376,64597,,,,,,,,,,
4/13/2021,HI,21.307442,-157.857376,31175,,,,,,,,,,
4/27/2021,HI,21.307442,-157.857376,32397,,,,,,,,,,
1/12/2022,HI,21.307442,-157.857376,149460,,,,,,,,,,
12/1/2021,HI,21.307442,-157.857376,84848,,,,,,,,,,
8/23/2020,HI,21.307442,-157.857376,6744,,,,,,,,,,
1/13/2022,HI,21.307442,-157.857376,152811,,,,,,,,,,
3/31/2021,HI,21.307442,-157.857376,29779,,,,,,,,,,
6/15/2020,HI,21.307442,-157.857376,727,,,,,,,,,,
12/13/2020,HI,21.307442,-157.857376,18938,,,,,,,,,,
11/16/2021,HI,21.307442,-157.857376,83137,,,,,,,,,,
9/8/2021,HI,21.307442,-157.857376,66925,,,,,,,,,,
12/29/2021,HI,21.307442,-157.857376,102925,,,,,,,,,,
7/12/2021,HI,21.307442,-157.857376,37081,,,,,,,,,,
1/20/2022,HI,21.307442,-157.857376,186148,,,,,,,,,,
3/2/2021,HI,21.307442,-157.857376,27532,,,,,,,,,,
5/24/2021,HI,21.307442,-157.857376,34688,,,,,,,,,,
8/3/2021,HI,21.307442,-157.857376,41815,,,,,,,,,,
11/30/2020,HI,21.307442,-157.857376,17708,,,,,,,,,,
5/19/2021,HI,21.307442,-157.857376,34395,,,,,,,,,,
8/14/2021,HI,21.307442,-157.857376,48376,,,,,,,,,,
2/27/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
12/15/2020,HI,21.307442,-157.857376,19177,,,,,,,,,,
4/12/2021,HI,21.307442,-157.857376,31113,,,,,,,,,,
8/21/2020,HI,21.307442,-157.857376,6328,,,,,,,,,,
7/15/2020,HI,21.307442,-157.857376,1286,,,,,,,,,,
3/6/2020,HI,21.307442,-157.857376,1,,,,,,,,,,
7/30/2020,HI,21.307442,-157.857376,2085,,,,,,,,,,
5/16/2021,HI,21.307442,-157.857376,34180,,,,,,,,,,
7/12/2020,HI,21.307442,-157.857376,1217,,,,,,,,,,
11/8/2020,HI,21.307442,-157.857376,15834,,,,,,,,,,
8/28/2021,HI,21.307442,-157.857376,58436,,,,,,,,,,
9/24/2020,HI,21.307442,-157.857376,11855,,,,,,,,,,
4/29/2021,HI,21.307442,-157.857376,32580,,,,,,,,,,
11/11/2021,HI,21.307442,-157.857376,82710,,,,,,,,,,
7/29/2021,HI,21.307442,-157.857376,39624,,,,,,,,,,
7/13/2020,HI,21.307442,-157.857376,1239,,,,,,,,,,
7/11/2021,HI,21.307442,-157.857376,37025,,,,,,,,,,
2/20/2021,HI,21.307442,-157.857376,27011,,,,,,,,,,
1/4/2022,HI,21.307442,-157.857376,119830,,,,,,,,,,
10/27/2021,HI,21.307442,-157.857376,81051,,,,,,,,,,
7/30/2021,HI,21.307442,-157.857376,40176,,,,,,,,,,
10/14/2020,HI,21.307442,-157.857376,13636,,,,,,,,,,
9/9/2021,HI,21.307442,-157.857376,67346,,,,,,,,,,
11/27/2021,HI,21.307442,-157.857376,84466,,,,,,,,,,
1/27/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
7/9/2020,HI,21.307442,-157.857376,1136,,,,,,,,,,
12/21/2021,HI,21.307442,-157.857376,91202,,,,,,,,,,
9/30/2020,HI,21.307442,-157.857376,12480,,,,,,,,,,
5/30/2020,HI,21.307442,-157.857376,644,,,,,,,,,,
9/29/2020,HI,21.307442,-157.857376,12373,,,,,,,,,,
10/1/2020,HI,21.307442,-157.857376,12566,,,,,,,,,,
9/7/2020,HI,21.307442,-157.857376,9986,,,,,,,,,,
6/25/2021,HI,21.307442,-157.857376,36198,,,,,,,,,,
2/20/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
4/25/2020,HI,21.307442,-157.857376,596,,,,,,,,,,
1/21/2021,HI,21.307442,-157.857376,24663,,,,,,,,,,
6/26/2021,HI,21.307442,-157.857376,36251,,,,,,,,,,
7/22/2020,HI,21.307442,-157.857376,1463,,,,,,,,,,
4/8/2021,HI,21.307442,-157.857376,30673,,,,,,,,,,
4/15/2021,HI,21.307442,-157.857376,31337,,,,,,,,,,
10/31/2020,HI,21.307442,-157.857376,14995,,,,,,,,,,
11/14/2020,HI,21.307442,-157.857376,16379,,,,,,,,,,
11/14/2021,HI,21.307442,-157.857376,82986,,,,,,,,,,
12/22/2020,HI,21.307442,-157.857376,20089,,,,,,,,,,
10/23/2020,HI,21.307442,-157.857376,14412,,,,,,,,,,
9/19/2021,HI,21.307442,-157.857376,73148,,,,,,,,,,
5/14/2021,HI,21.307442,-157.857376,33915,,,,,,,,,,
2/13/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
4/7/2021,HI,21.307442,-157.857376,30552,,,,,,,,,,
11/21/2020,HI,21.307442,-157.857376,16919,,,,,,,,,,
11/29/2021,HI,21.307442,-157.857376,84685,,,,,,,,,,
10/11/2020,HI,21.307442,-157.857376,13435,,,,,,,,,,
3/28/2020,HI,21.307442,-157.857376,199,,,,,,,,,,
9/12/2021,HI,21.307442,-157.857376,69629,,,,,,,,,,
2/2/2021,HI,21.307442,-157.857376,25932,,,,,,,,,,
11/19/2020,HI,21.307442,-157.857376,16677,,,,,,,,,,
10/23/2021,HI,21.307442,-157.857376,80569,,,,,,,,,,
2/26/2021,HI,21.307442,-157.857376,27286,,,,,,,,,,
10/29/2020,HI,21.307442,-157.857376,14841,,,,,,,,,,
9/28/2021,HI,21.307442,-157.857376,76243,,,,,,,,,,
1/10/2021,HI,21.307442,-157.857376,22778,,,,,,,,,,
6/13/2021,HI,21.307442,-157.857376,35723,,,,,,,,,,
1/8/2022,HI,21.307442,-157.857376,134753,,,,,,,,,,
7/25/2020,HI,21.307442,-157.857376,1655,,,,,,,,,,
3/10/2021,HI,21.307442,-157.857376,27944,,,,,,,,,,
6/8/2021,HI,21.307442,-157.857376,35422,,,,,,,,,,
7/3/2020,HI,21.307442,-157.857376,980,,,,,,,,,,
9/18/2021,HI,21.307442,-157.857376,72687,,,,,,,,,,
3/25/2021,HI,21.307442,-157.857376,29120,,,,,,,,,,
7/17/2021,HI,21.307442,-157.857376,37577,,,,,,,,,,
12/12/2020,HI,21.307442,-157.857376,18861,,,,,,,,,,
5/10/2021,HI,21.307442,-157.857376,33665,,,,,,,,,,
8/9/2021,HI,21.307442,-157.857376,45041,,,,,,,,,,
2/29/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
5/18/2021,HI,21.307442,-157.857376,34300,,,,,,,,,,
2/7/2021,HI,21.307442,-157.857376,26398,,,,,,,,,,
8/20/2021,HI,21.307442,-157.857376,52401,,,,,,,,,,
5/3/2021,HI,21.307442,-157.857376,33060,,,,,,,,,,
2/28/2021,HI,21.307442,-157.857376,27473,,,,,,,,,,
1/18/2022,HI,21.307442,-157.857376,176439,,,,,,,,,,
1/14/2021,HI,21.307442,-157.857376,23305,,,,,,,,,,
2/26/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
1/9/2021,HI,21.307442,-157.857376,22600,,,,,,,,,,
8/25/2020,HI,21.307442,-157.857376,7234,,,,,,,,,,
6/4/2020,HI,21.307442,-157.857376,653,,,,,,,,,,
9/29/2021,HI,21.307442,-157.857376,76457,,,,,,,,,,
3/5/2020,HI,21.307442,-157.857376,1,,,,,,,,,,
10/10/2021,HI,21.307442,-157.857376,78986,,,,,,,,,,
12/29/2020,HI,21.307442,-157.857376,20747,,,,,,,,,,
9/20/2020,HI,21.307442,-157.857376,11423,,,,,,,,,,
11/23/2021,HI,21.307442,-157.857376,84135,,,,,,,,,,
2/5/2021,HI,21.307442,-157.857376,26192,,,,,,,,,,
9/1/2020,HI,21.307442,-157.857376,8961,,,,,,,,,,
3/13/2020,HI,21.307442,-157.857376,4,,,,,,,,,,
12/14/2021,HI,21.307442,-157.857376,86579,,,,,,,,,,
3/24/2021,HI,21.307442,-157.857376,29005,,,,,,,,,,
1/4/2021,HI,21.307442,-157.857376,21614,,,,,,,,,,
3/15/2021,HI,21.307442,-157.857376,28312,,,,,,,,,,
8/25/2021,HI,21.307442,-157.857376,55668,,,,,,,,,,
1/3/2022,HI,21.307442,-157.857376,118330,,,,,,,,,,
2/15/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
6/28/2020,HI,21.307442,-157.857376,883,,,,,,,,,,
3/10/2020,HI,21.307442,-157.857376,2,,,,,,,,,,
6/23/2021,HI,21.307442,-157.857376,36104,,,,,,,,,,
5/10/2020,HI,21.307442,-157.857376,622,,,,,,,,,,
9/25/2020,HI,21.307442,-157.857376,11982,,,,,,,,,,
7/2/2020,HI,21.307442,-157.857376,956,,,,,,,,,,
9/26/2021,HI,21.307442,-157.857376,75758,,,,,,,,,,
6/6/2021,HI,21.307442,-157.857376,35360,,,,,,,,,,
8/18/2021,HI,21.307442,-157.857376,50821,,,,,,,,,,
5/22/2020,HI,21.307442,-157.857376,636,,,,,,,,,,
9/10/2020,HI,21.307442,-157.857376,10420,,,,,,,,,,
3/19/2020,HI,21.307442,-157.857376,39,,,,,,,,,,
2/10/2021,HI,21.307442,-157.857376,26507,,,,,,,,,,
8/1/2021,HI,21.307442,-157.857376,41090,,,,,,,,,,
2/7/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
8/12/2020,HI,21.307442,-157.857376,4280,,,,,,,,,,
11/28/2021,HI,21.307442,-157.857376,84615,,,,,,,,,,
5/27/2021,HI,21.307442,-157.857376,34807,,,,,,,,,,
5/9/2021,HI,21.307442,-157.857376,33613,,,,,,,,,,
2/19/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
10/3/2021,HI,21.307442,-157.857376,77688,,,,,,,,,,
12/28/2020,HI,21.307442,-157.857376,20676,,,,,,,,,,
9/2/2020,HI,21.307442,-157.857376,9169,,,,,,,,,,
4/18/2020,HI,21.307442,-157.857376,572,,,,,,,,,,
12/22/2021,HI,21.307442,-157.857376,92157,,,,,,,,,,
5/5/2021,HI,21.307442,-157.857376,33186,,,,,,,,,,
3/16/2021,HI,21.307442,-157.857376,28357,,,,,,,,,,
12/27/2020,HI,21.307442,-157.857376,20631,,,,,,,,,,
2/12/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
10/15/2020,HI,21.307442,-157.857376,13724,,,,,,,,,,
5/22/2021,HI,21.307442,-157.857376,34610,,,,,,,,,,
4/5/2021,HI,21.307442,-157.857376,30427,,,,,,,,,,
9/21/2021,HI,21.307442,-157.857376,73841,,,,,,,,,,
11/1/2020,HI,21.307442,-157.857376,15075,,,,,,,,,,
4/14/2020,HI,21.307442,-157.857376,524,,,,,,,,,,
10/29/2021,HI,21.307442,-157.857376,81311,,,,,,,,,,
8/27/2020,HI,21.307442,-157.857376,7803,,,,,,,,,,
5/9/2020,HI,21.307442,-157.857376,620,,,,,,,,,,
5/2/2020,HI,21.307442,-157.857376,610,,,,,,,,,,
8/24/2020,HI,21.307442,-157.857376,6959,,,,,,,,,,
5/26/2021,HI,21.307442,-157.857376,34754,,,,,,,,,,
4/16/2021,HI,21.307442,-157.857376,31422,,,,,,,,,,
4/6/2021,HI,21.307442,-157.857376,30479,,,,,,,,,,
12/4/2020,HI,21.307442,-157.857376,18058,,,,,,,,,,
10/22/2021,HI,21.307442,-157.857376,80399,,,,,,,,,,
3/22/2021,HI,21.307442,-157.857376,28912,,,,,,,,,,
1/30/2020,HI,21.307442,-157.857376,0,,,,,,,,,,
